chokepoint_id,location_name,zone,lat,lng,physical_width_meters,surface_type,pedestrian_critical_threshold_per_sqm,historic_peak_density_2015,historic_incident_risk,primary_hazard_type,kumbh_saathi_algorithmic_mitigation
CP-01,Sardar Chowk to Ram Kund Alleyway,Panchavati,19.9988,73.7922,4.2,Cobblestone Stairs,4.0,96.2,HIGH (2003 stampede zone),Crush at stair transition,Auto-reroute via Victoria East promenade; Elderly 1.35x buffer
CP-02,Ahilyabai Holkar (Victoria) Bridge North Approach,Panchavati,20.0012,73.7915,6.5,Asphalt Pavement,5.0,92.4,CRITICAL (Bidirectional conflict),Gridlock between arriving & departing bathers,One-way pedestrian flow enforcement with East bank diversion
CP-03,Kushavarta Kund East Arch Gate,Trimbakeshwar,19.9326,73.5312,3.8,Basalt Steps,3.5,94.8,HIGH (Narrow ancient portal),Compression at entry portal,Holding area buffering & staggered batch entry gate
CP-04,Kapileshwar Mahadev Flight of Steps,Panchavati,19.9984,73.7903,3.2,Steep Stone Steps,3.0,88.0,MODERATE (Slip & fall hazard),Stair bottleneck for elderly,Step-free alternative route marker and palanquin dispatch
CP-05,Kalaram Mandir East Gate Narrow Bazaar,Panchavati,20.003,73.7952,4.8,Paved Commercial Lane,4.5,89.5,HIGH (Shop spillover),Pilgrims trapped between shoe stands & temple queue,Diverting waiting lines to wide outer holding gardens
CP-06,Tapovan Akhada Procession Crossing,Tapovan,19.9961,73.8188,12.0,Graded Earth & Tar,6.0,78.4,MODERATE (Elephant/Chariot movement),Sadhu procession intersecting public route,Time-synchronized corridor lock with temporary overpass route
CP-07,Malegaon Stand Transit Funnel,Panchavati,20.0055,73.7965,7.0,Metaled Road,5.0,86.0,MODERATE (Vehicle-pedestrian conflict),Auto-rickshaw & walking pilgrim mix,100% pedestrianized green corridor during peak Shahi Snan hours
CP-08,Sita Gumpha Subterranean Descent,Panchavati,20.004,73.796,1.8,Enclosed Rock Tunnel,2.0,91.0,HIGH (Claustrophobia & slow movement),Single-file crawling queue slowing entire corridor,Live queue wait-time broadcast and bypass for claustrophobic pilgrims
CP-09,Someshwar Waterfall Edge Viewing Deck,Someshwar,20.027,73.737,4.0,Stone Paved with Railing,3.5,72.0,LOW (Slippery wet rocks),Water edge crowding,Safety perimeter railing with volunteer barrier teams
CP-10,Brahmagiri Mountain Trail Base Choke,Trimbakeshwar,19.931,73.518,2.8,Rocky Mountain Steps,2.5,84.0,HIGH (Steep 750-step climb),"Exhaustion, falling stones, slow ascent",Fitness advisory warnings and palanquin service booking
